Country,Produce
Argentina,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Australia,"['Avocados', 'Cilantro', 'Limes', 'Onions', 'Tomatoes']"
Bahamas,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Barbados,"['Avocados', 'Onions', 'Tomatoes']"
Bolivia (Plurinational State of),"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Bosnia and Herzegovina,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Brazil,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Cameroon,"['Avocados', 'Onions', 'Tomatoes']"
Central African Republic,"['Avocados', 'Limes']"
Chile,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
China,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
"China, mainland","['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Colombia,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Congo,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Cook Islands,"['Avocados', 'Limes', 'Tomatoes']"
Costa Rica,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Côte d'Ivoire,"['Avocados', 'Onions', 'Tomatoes']"
Cuba,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Cyprus,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Democratic Republic of the Congo,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Dominica,"['Avocados', 'Limes', 'Tomatoes']"
Dominican Republic,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Ecuador,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
El Salvador,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Eswatini,"['Avocados', 'Tomatoes']"
Ethiopia,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
France,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
French Guiana,"['Avocados', 'Limes', 'Tomatoes']"
French Polynesia,"['Avocados', 'Onions', 'Tomatoes']"
Ghana,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Greece,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Grenada,"['Avocados', 'Limes', 'Tomatoes']"
Guadeloupe,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Guatemala,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Guyana,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Haiti,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Honduras,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Indonesia,"['Avocados', 'Garlic', 'Onions', 'Tomatoes']"
Israel,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Jamaica,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Kenya,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Lebanon,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Madagascar,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Martinique,"['Avocados', 'Limes', 'Tomatoes']"
Mexico,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Morocco,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
New Zealand,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Palestine,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Panama,"['Avocados', 'Onions', 'Tomatoes']"
Paraguay,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Peru,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Philippines,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Portugal,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Puerto Rico,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Réunion,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Rwanda,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Saint Lucia,"['Avocados', 'Limes', 'Tomatoes']"
Samoa,['Avocados']
Seychelles,"['Avocados', 'Limes', 'Tomatoes']"
South Africa,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Spain,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Sri Lanka,"['Avocados', 'Limes', 'Onions', 'Tomatoes']"
Timor-Leste,"['Avocados', 'Garlic', 'Tomatoes']"
Trinidad and Tobago,"['Avocados', 'Limes', 'Tomatoes']"
Tunisia,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Turkey,"['Avocados', 'Cilantro', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
United States of America,"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Venezuela (Bolivarian Republic of),"['Avocados', 'Garlic', 'Limes', 'Onions', 'Tomatoes']"
Zimbabwe,"['Avocados', 'Cilantro', 'Limes', 'Onions', 'Tomatoes']"
